"aisle","total_purchases","total_reorders","reorder_probability"
"condiments","222049","68520","0.30858053852978395"
"packaged cheese","979763","573383","0.585226223076397"
"water seltzer sparkling water","841533","613977","0.7295934918773239"
"frozen vegan vegetarian","99369","53875","0.5421710996387203"
"instant foods","200687","98243","0.48953345259035214"
"juice nectars","333933","197733","0.5921337513812651"
"cookies cakes","234065","128431","0.5486980112361951"
"soap","64059","20430","0.3189247412541563"
"cold flu allergy","26061","6156","0.23621503395878898"
"mint gum","22664","12667","0.5589039887045535"
"pickled goods olives","112639","50448","0.44787329432967266"
"ice cream toppings","11202","2990","0.26691662203178"
"cream","318002","217846","0.6850460059999622"
"fresh herbs","377741","195230","0.5168356095843448"
"butter","254317","146496","0.5760369932013982"
"fresh dips tapenades","355685","216232","0.607931175056581"
"tea","249341","131556","0.5276147925932759"
"other creams cheeses","308007","174047","0.565074819728123"
"laundry","94354","38199","0.40484770121033553"
"meat counter","70887","37786","0.533045551370491"
"spirits","28102","16084","0.5723436054373354"
"frozen meat seafood","71742","37983","0.5294388224471022"
"prepared soups salads","71928","42912","0.5965965965965966"
"cocoa drink mixes","21214","8598","0.4052983878570755"
"protein meal replacements","36599","18531","0.506325309434684"
"frozen juice","4853","2188","0.45085514114980424"
"bulk dried fruits vegetables","17368","10775","0.6203938277291571"
"facial care","12169","3856","0.31687073711890873"
"specialty wines champagnes","11198","5446","0.4863368458653331"
"seafood counter","29642","15292","0.5158896160852844"
"kitchen supplies","8724","1734","0.19876203576341128"
"milk","891015","696264","0.7814279220888537"
"spices seasonings","212092","32321","0.15239141504630066"
"eggs","452134","318920","0.7053661082776345"
"dry pasta","266628","120799","0.4530619439818774"
"paper goods","242996","128303","0.5280045762070158"
"specialty cheeses","82491","40365","0.48932610830272394"
"fresh pasta","36727","18513","0.5040705747814959"
"packaged seafood","20931","10620","0.5073813960154794"
"eye ear care","8974","1950","0.21729440606195677"
"frozen produce","522654","283033","0.5415303432098482"
"chips pretzels","721657","424857","0.5887242831428227"
"hot cereal pancake mixes","158164","79003","0.4995005184492046"
"canned jarred vegetables","297037","125096","0.4211461871753351"
"oils vinegars","245466","86120","0.3508428865912183"
"poultry counter","129514","79374","0.6128603857498031"
"canned fruit applesauce","87197","49093","0.5630124889617762"
"dog food care","34125","19249","0.5640732600732601"
"yogurt","1452343","997018","0.6864893485905189"
"nuts seeds dried fruit","306487","159119","0.5191704705256667"
"popcorn jerky","163524","96804","0.5919864973948779"
"tortillas flat bread","190100","105097","0.5528511309836928"
"baby accessories","8160","4496","0.5509803921568628"
"breakfast bakery","250770","163307","0.651222235514615"
"soft drinks","357537","228406","0.6388317852418072"
"salad dressing toppings","99331","33913","0.3414140600618135"
"air fresheners candles","19841","6134","0.30915780454614183"
"packaged meat","33865","18394","0.5431566514100103"
"baby bath body care","8581","2538","0.29576972380841393"
"fruit vegetable snacks","175757","104121","0.5924145268751743"
"packaged vegetables fruits","1765313","1127177","0.6385139632461778"
"frozen pizza","161150","93671","0.5812659013341607"
"feminine care","19753","6337","0.3208120285526249"
"spreads","289400","141121","0.48763303386316514"
"grains rice dried goods","144189","57425","0.39826200334283474"
"candy chocolate","300567","172313","0.5732931426271014"
"red wines","35181","19305","0.5487336914811972"
"baby food formula","382456","225748","0.5902587487188069"
"energy sports drinks","103615","67309","0.6496067171741543"
"soup broth bouillon","346464","145984","0.4213540223515286"
"baking supplies decor","23655","3951","0.16702599873176918"
"canned meals beans","270314","136348","0.5044059871112854"
"hair care","32013","7870","0.24583762846343674"
"skin care","10164","2460","0.24203069657615112"
"first aid","10805","2115","0.19574271170754282"
"energy granola bars","456386","272922","0.5980069502570193"
"ice cream ice","498425","245400","0.4923509053518584"
"buns rolls","113015","59993","0.5308410388001593"
"refrigerated pudding desserts","37691","20859","0.5534212411451009"
"plates bowls cups flatware","40497","17790","0.4392917993925476"
"prepared meals","98861","61298","0.6200422815872791"
"frozen breads doughs","39611","21500","0.5427785211178713"
"bulk grains rice dried goods","17205","9175","0.5332752106945655"
"beauty","6168","1308","0.21206225680933852"
"fresh vegetables","3418021","2032172","0.5945463763973363"
"fresh fruits","3642188","2615469","0.7181037881625001"
"packaged produce","276028","190662","0.6907342733345893"
"soy lactosefree","638253","442023","0.6925513863624613"
"latino foods","74912","29781","0.3975464545066211"
"cereal","377586","215822","0.5715836921919775"
"pasta sauce","218387","104597","0.47895250175147785"
"cat food care","63421","39377","0.6208826729316788"
"frozen appetizers sides","194582","102264","0.5255573485728382"
"tofu meat alternatives","129474","78691","0.6077745338832506"
"trash bags liners","32081","10771","0.3357438982575356"
"indian foods","15901","6397","0.4023017420288032"
"granola","101959","61085","0.5991133690993439"
"marinades meat preparation","62510","17542","0.28062709966405375"
"digestion","26873","11987","0.4460611022215607"
"bakery desserts","33758","17062","0.5054209372593164"
"hot dogs bacon sausage","305655","170005","0.556198982512964"
"frozen meals","390299","217262","0.5566552822323398"
"packaged poultry","118437","70971","0.599229970363991"
"beers coolers","48657","27506","0.5653040672462338"
"trail mix snack mix","35590","22074","0.620230401798258"
"shave needs","10344","2712","0.26218097447795824"
"deodorants","14815","3509","0.23685453931825853"
"kosher foods","11798","4731","0.4010001695202577"
"bread","584834","391937","0.6701679450921116"
"crackers","458838","261145","0.5691442295537859"
"lunch meat","395130","239653","0.6065168425581454"
"baking ingredients","325014","99036","0.30471302774649706"
"refrigerated","575881","381983","0.6633019668994116"
"vitamins supplements","45059","14036","0.31150269646463524"
"honeys syrups nectars","66926","24030","0.3590532827301796"
"doughs gelatins bake mixes","106089","41669","0.3927739916485215"
"coffee","207075","128330","0.6197271519980684"
"more household","17285","4358","0.25212612091408737"
"dish detergents","94927","37322","0.39316527436872545"
"breakfast bars pastries","71860","42103","0.5859031450041747"
"missing","69048","27339","0.39594195342370525"
"oral hygiene","63749","20486","0.3213540604558503"
"asian foods","166607","58501","0.35113170515044384"
"frozen dessert","19285","8121","0.4211044853513093"
"other","36186","14775","0.4083070800862212"
"white wines","30558","19254","0.630080502650697"
"diapers wipes","24605","12587","0.511562690510059"
"muscles joints pain relief","18683","6410","0.3430926510731681"
"preserved dips spreads","108691","50987","0.46910047750043704"
"cleaning products","118477","34185","0.28853701562328554"
"food storage","63193","16322","0.2582881015302328"
"body lotions soap","40768","13428","0.3293759811616955"
"frozen breakfast","232763","145761","0.6262206622186516"
"canned meat seafood","67046","32014","0.4774930644632044"
